angle_deg,sum_mu,count,avg_mu
0.0000,-875,877640,-0.0010
1.0000,497,872670,0.0006
2.0000,17,872654,0.0000
3.0000,682,872663,0.0008
4.0000,599,872664,0.0007
5.0000,-205,872665,-0.0002
6.0000,312,872663,0.0004
7.0000,743,872678,0.0009
8.0000,-56,872654,-0.0001
9.0000,638,872664,0.0007
10.0000,-456,872666,-0.0005
11.0000,-987,872666,-0.0011
12.0000,-381,872674,-0.0004
13.0000,308,872653,0.0004
14.0000,364,872668,0.0004
15.0000,709,872666,0.0008
16.0000,-599,872664,-0.0007
17.0000,-982,872665,-0.0011
18.0000,-9,872662,-0.0000
19.0000,-311,872665,-0.0004
20.0000,391,872663,0.0004
21.0000,-311,872666,-0.0004
22.0000,287,872661,0.0003
23.0000,4,872665,0.0000
24.0000,-424,872665,-0.0005
25.0000,225,872661,0.0003
26.0000,-692,872668,-0.0008
27.0000,899,872663,0.0010
28.0000,640,872664,0.0007
29.0000,-193,872664,-0.0002
30.0000,-1404,872667,-0.0016
31.0000,-560,872653,-0.0006
32.0000,732,872674,0.0008
33.0000,831,872669,0.0010
34.0000,283,872666,0.0003
35.0000,-465,872664,-0.0005
36.0000,-569,872659,-0.0007
37.0000,436,872667,0.0005
38.0000,249,872667,0.0003
39.0000,208,872666,0.0002
40.0000,-1220,872662,-0.0014
41.0000,-194,872666,-0.0002
42.0000,-79,872647,-0.0001
43.0000,12,872679,0.0000
44.0000,753,869136,0.0009
45.0000,759,876207,0.0009
46.0000,12,872679,0.0000
47.0000,-79,872647,-0.0001
48.0000,-194,872666,-0.0002
49.0000,-1220,872662,-0.0014
50.0000,208,872666,0.0002
51.0000,249,872667,0.0003
52.0000,436,872667,0.0005
53.0000,-569,872659,-0.0007
54.0000,-465,872664,-0.0005
55.0000,283,872666,0.0003
56.0000,831,872669,0.0010
57.0000,732,872674,0.0008
58.0000,-560,872653,-0.0006
59.0000,-1404,872667,-0.0016
60.0000,-193,872664,-0.0002
61.0000,640,872664,0.0007
62.0000,899,872663,0.0010
63.0000,-692,872668,-0.0008
64.0000,225,872661,0.0003
65.0000,-424,872665,-0.0005
66.0000,4,872665,0.0000
67.0000,287,872661,0.0003
68.0000,-311,872666,-0.0004
69.0000,391,872663,0.0004
70.0000,-311,872665,-0.0004
71.0000,-9,872662,-0.0000
72.0000,-982,872665,-0.0011
73.0000,-599,872664,-0.0007
74.0000,709,872666,0.0008
75.0000,364,872668,0.0004
76.0000,308,872653,0.0004
77.0000,-381,872674,-0.0004
78.0000,-987,872666,-0.0011
79.0000,-456,872666,-0.0005
80.0000,638,872664,0.0007
81.0000,-56,872654,-0.0001
82.0000,743,872678,0.0009
83.0000,312,872663,0.0004
84.0000,-205,872665,-0.0002
85.0000,599,872664,0.0007
